	creation_time	session_id	project_id	action_id	action_params	parent_display_id	child_display_id
0	2016-08-14 12:44:05	1	1	1	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1	2
1	2016-08-14 12:44:08	1	1	2	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	2	3
2	2016-08-15 09:40:42	2	1	3	"{""field"":""eth_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	5
3	2016-08-15 13:13:54	2	1	4	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	6
4	2016-08-15 13:14:10	2	1	5	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	4	7
5	2016-08-15 13:15:13	2	1	6	"{""field"":""info_line"",""term"":""reply"",""condition"":16}"	7	8
6	2016-08-15 13:16:34	2	1	8	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	7	10
7	2016-08-15 13:17:24	2	1	10	"{""field"":""highest_layer"",""term"":""SMB"",""condition"":512}"	7	12
8	2016-08-15 13:17:47	2	1	12	"{""field"":""tcp_dstport"",""term"":""443"",""condition"":8}"	12	14
9	2016-08-15 13:18:11	2	1	13	"{""field"":""tcp_dstport"",""term"":""445"",""condition"":8}"	12	15
10	2016-08-15 13:23:04	2	1	14	"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":8}"	4	16
11	2016-08-15 13:25:19	2	1	15	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	17
12	2016-08-15 13:27:26	2	1	16	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	4	18
13	2016-08-22 14:54:45	7	1	49	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	55	56
14	2016-08-22 14:54:53	7	1	50	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	56	57
15	2016-08-22 14:55:13	7	1	51	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":2}"	57	58
16	2016-08-22 14:55:35	7	1	52	"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":3}"	58	59
17	2016-08-22 15:00:05	7	1	53	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":2}"	57	60
18	2016-08-22 15:07:44	7	1	55	"{""field"":""ip_dst"",""term"":""82.108.10.174"",""condition"":8}"	57	62
19	2016-08-22 15:09:48	7	1	56	"{""field"": ""tcp_stream"", ""term"": ""43"", ""condition"": 8}"	55	63
20	2016-08-22 15:11:10	7	1	57	"{""field"":""ip_dst"",""term"":""82.108.10.174"",""condition"":8}"	55	64
21	2016-08-22 16:43:59	9	2	83	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	91	92
22	2016-08-22 16:44:01	9	2	84	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	92	93
23	2016-08-22 16:44:29	9	2	85	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	91	94
24	2016-08-22 16:45:21	9	2	86	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""},{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	91	95
25	2016-08-22 16:45:47	9	2	87	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":512}"	95	96
26	2016-08-23 17:19:43	11	1	92	"{""field"":""highest_layer"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":0}"	101	103
27	2016-08-23 17:20:20	11	1	94	"{""field"":""ip_src"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":1}"	103	105
28	2016-08-23 17:21:57	11	1	95	"{""field"":""ip_dst"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":2}"	105	106
29	2016-08-23 17:22:00	11	1	96	"{""field"":""ip_dst"",""direction"":""asc""}"	105	107
30	2016-08-23 17:26:23	11	1	97	"{""field"":""ip_dst"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":2}"	103	108
31	2016-08-23 17:27:49	12	2	98	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	109	110
32	2016-08-23 17:28:03	12	2	99	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	110	111
33	2016-08-23 17:29:18	12	2	100	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	109	114
34	2016-08-23 17:29:58	12	2	102	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""}],""groupPriority"":0}"	109	117
35	2016-08-23 17:30:12	12	2	104	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":512}"	117	119
36	2016-08-23 17:37:45	17	1	115	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	132	133
37	2016-08-23 17:37:57	17	1	116	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	132	134
38	2016-08-23 17:38:03	17	1	117	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	134	135
39	2016-08-23 17:40:36	17	1	119	"{""field"":""info_line"",""term"":""Echo (ping) reply"",""condition"":16}"	132	137
40	2016-08-23 17:40:48	17	1	120	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	137	138
41	2016-08-23 17:41:25	17	1	121	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	132	139
42	2016-08-23 17:41:42	17	1	122	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	132	140
43	2016-08-23 17:42:05	17	1	123	"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":0}"	140	141
44	2016-08-23 17:43:16	17	1	124	"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":512}"	141	142
45	2016-08-23 17:43:50	17	1	125	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	142	143
46	2016-08-27 15:53:21	23	1	218	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":8}"	241	242
47	2016-08-27 15:53:29	23	1	219	"{""field"":""ip_dst"",""direction"":""asc""}"	242	243
48	2016-08-27 15:54:17	23	1	220	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	243	244
49	2016-08-27 15:57:55	23	1	221	"{""field"":""ip_dst"",""term"":""82.108.163.88"",""condition"":8}"	241	245
50	2016-08-27 15:59:07	23	1	223	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	241	247
51	2016-08-27 15:59:44	23	1	224	"{""field"":""tcp_dstport"",""aggregations"":[{""field"":""ip_dst"",""type"":""count""}],""groupPriority"":0}"	247	248
52	2016-08-27 16:01:37	23	1	225	"{""field"":""ip_dst"",""direction"":""asc""}"	248	249
53	2016-08-27 16:02:53	23	1	226	"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	241	250
54	2016-08-27 16:03:09	23	1	227	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	250	251
55	2016-08-27 16:05:21	23	1	228	"{""field"":""tcp_stream"",""term"":""0"",""condition"":32}"	241	252
56	2016-08-27 16:06:05	23	1	229	"{""field"":""tcp_dstport"",""aggregations"":[{""field"":""tcp_stream"",""type"":""count""}],""groupPriority"":0}"	252	253
57	2016-08-27 16:06:45	23	1	231	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	253	255
58	2016-08-27 20:56:30	33	1	324	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	356	357
59	2016-08-27 20:57:10	33	1	328	"{""field"":""ip_dst"",""term"":""192.168.1.1"",""condition"":8}"	356	361
60	2016-08-27 20:57:46	33	1	329	"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":8}"	356	362
61	2016-08-27 20:57:54	33	1	330	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":8}"	362	363
62	2016-08-27 20:58:02	33	1	331	"{""field"":""info_line"",""term"":""Echo (ping) reply"",""condition"":16}"	363	364
63	2016-08-27 20:58:10	33	1	332	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	364	365
64	2016-08-27 20:58:28	33	1	333	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":8}"	362	366
65	2016-08-27 20:58:40	33	1	334	"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	366	367
66	2016-08-27 20:59:12	33	1	335	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	356	368
67	2016-08-31 17:22:57	49	1	443	"{""field"":""ip_src"",""aggregations"":[{""field"":""info_line"",""type"":""count""}],""groupPriority"":0}"	493	495
68	2016-08-31 17:23:22	49	1	444	"{""field"":""ip_dst"",""aggregations"":[{""field"":""ip_src"",""type"":""min""}],""groupPriority"":0}"	493	496
69	2016-09-01 21:06:12	55	1	451	"{""field"":""ip_src"",""direction"":""asc""}"	508	509
70	2016-09-01 21:06:38	55	1	452	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":16}"	509	510
71	2016-09-01 21:08:01	55	1	454	"{""field"":""ip_src"",""visible"":false}"	509	513
72	2016-09-01 21:10:10	55	1	455	"{""field"":""ip_src"",""aggregations"":[{""field"":""highest_layer"",""type"":""count""}],""groupPriority"":0}"	508	514
73	2016-09-01 21:26:58	55	1	458	"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":16}"	508	517
74	2016-09-01 21:27:32	55	1	459	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":16}"	517	518
75	2016-09-02 17:31:02	57	2	479	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	538	539
76	2016-09-02 17:35:02	57	2	480	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	538	540
77	2016-09-02 17:50:44	57	2	481	"{""field"":""info_line"",""term"":""Nzmx"",""condition"":16}"	540	541
78	2016-09-02 17:53:08	57	2	482	"{""field"":""tcp_stream"",""term"":""3"",""condition"":8}"	540	542
79	2016-09-02 17:53:36	57	2	483	"{""field"":""ip_src"",""term"":""98.114.205.102"",""condition"":16}"	542	543
80	2016-09-02 17:54:46	57	2	484	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	542	544
81	2016-09-02 17:55:31	57	2	485	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":1}"	542	545
82	2016-09-06 17:57:33	63	1	519	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	585	586
83	2016-09-06 18:30:55	63	1	520	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":0}"	585	587
84	2016-09-06 18:31:07	63	1	521	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	585	588
85	2016-09-06 18:31:29	63	1	522	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	585	589
86	2016-09-06 18:35:17	63	1	523	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	585	590
87	2016-09-08 23:51:32	74	2	555	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	633	634
88	2016-09-08 23:51:54	74	2	556	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	633	635
89	2016-09-08 23:52:11	74	2	557	"{""field"":""ip_src"",""aggregations"":[{""field"":""ip_dst"",""type"":""count""}],""groupPriority"":0}"	633	636
90	2016-09-08 23:52:46	74	2	558	"{""field"":""ip_dst"",""aggregations"":[{""field"":""ip_src"",""type"":""count""}],""groupPriority"":0}"	633	637
91	2016-09-08 23:53:33	74	2	559	"{""field"":""tcp_dstport"",""aggregations"":[{""field"":""ip_src"",""type"":""count""}],""groupPriority"":0}"	633	638
92	2016-09-08 23:53:56	74	2	560	"{""field"": ""tcp_dstport"", ""term"": ""2152"", ""condition"": 8}"	633	639
93	2016-09-08 23:54:12	74	2	561	"{""field"":""tcp_srcport"",""aggregations"":[{""field"":""tcp_dstport"",""type"":""count""}],""groupPriority"":0}"	633	640
94	2016-09-08 23:54:46	74	2	562	"{""field"": ""tcp_dstport"", ""term"": ""8884"", ""condition"": 8}"	633	641
95	2016-09-08 23:55:08	74	2	563	"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	633	642
96	2016-09-18 15:27:32	94	2	614	"{""field"":""highest_layer"",""direction"":""asc""}"	712	713
97	2016-09-18 23:06:06	130	1	679	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	809	813
98	2016-09-18 23:07:07	130	1	680	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	813	814
99	2016-09-18 23:09:19	130	1	681	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":2}"	814	815
100	2016-09-18 23:18:29	130	1	684	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	814	821
101	2016-09-19 07:22:14	142	2	704	"{""field"":""length"",""direction"":""desc""}"	849	850
102	2016-09-19 07:23:23	142	2	705	"{""field"":""info_line"",""term"":""LLENGE, Error: STATUS_MORE_PROCE"",""condition"":16}"	850	851
103	2016-09-19 13:05:45	161	4	724	"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	892	893
104	2016-09-19 13:06:05	161	4	726	"{""field"":""ip_src"",""term"":""10.42.42.253"",""condition"":16}"	893	895
105	2016-09-19 23:23:03	178	2	816	"{""field"":""number"",""aggregations"":[],""groupPriority"":0}"	1001	1002
106	2016-09-29 14:45:19	196	1	940	"{""field"":""sniff_timestamp"",""direction"":""asc""}"	1156	1157
107	2016-09-29 14:46:17	196	1	941	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1157	1158
108	2016-09-29 14:56:05	196	1	942	"{""field"":""info_line"",""term"":""reply"",""condition"":16}"	1157	1159
109	2016-09-29 14:57:36	196	1	943	"{""field"":""ip_src"",""term"":""82.108.171.155"",""condition"":16}"	1157	1160
110	2016-09-29 14:59:18	196	1	944	"{""field"":""ip_dst"",""term"":""82.108.171.155"",""condition"":16}"	1157	1161
111	2016-09-29 15:04:50	197	2	945	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1162	1163
112	2016-09-29 15:04:56	197	2	946	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":0}"	1162	1164
113	2016-09-29 15:06:22	197	2	947	"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":0}"	1162	1165
114	2016-09-29 15:57:56	197	2	948	"{""field"":""highest_layer"",""term"":""SOCKS"",""condition"":16}"	1162	1166
115	2016-09-29 15:58:44	197	2	949	"{""field"":""length"",""aggregations"":[],""groupPriority"":0}"	1166	1167
116	2016-10-09 18:52:23	222	1	1080	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1222	1333
117	2016-10-09 18:56:25	222	1	1130	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	1333	1388
118	2016-10-09 18:56:52	222	1	1136	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1333	1394
119	2016-10-09 18:57:54	222	1	1144	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1333	1402
120	2016-10-09 18:58:49	222	1	1163	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1333	1421
121	2016-10-09 18:59:06	222	1	1165	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1333	1423
122	2016-10-09 18:59:11	222	1	1166	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	1423	1424
123	2016-10-09 19:05:17	222	1	1199	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":2}"	1333	1460
124	2016-10-09 19:06:09	222	1	1205	"{""field"":""ip_dst"",""term"":""82.108.24.168"",""condition"":4}"	1333	1466
125	2016-10-09 19:06:33	222	1	1214	"{""field"":""ip_dst"",""term"":""82.108.84.10"",""condition"":4}"	1333	1475
126	2016-10-09 19:08:05	222	1	1221	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":2}"	1333	1482
127	2016-10-09 19:08:19	222	1	1226	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1482	1487
128	2016-10-09 19:12:28	222	1	1259	"{""field"":""tcp_stream"",""term"":""0"",""condition"":32}"	1487	1520
129	2016-10-09 19:31:30	222	1	1385	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1482	1687
130	2016-10-09 19:31:46	222	1	1387	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1333	1693
131	2016-10-09 19:31:50	222	1	1388	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	1333	1694
132	2016-10-09 19:32:07	222	1	1394	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":2}"	1694	1700
133	2016-10-09 18:51:09	226	1	1070	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1226	1322
134	2016-10-09 18:53:37	226	1	1102	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":16}"	1226	1356
135	2016-10-09 18:53:45	226	1	1104	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1356	1359
136	2016-10-09 18:54:23	226	1	1111	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	1359	1366
137	2016-10-09 18:54:52	226	1	1114	"{""field"":""eth_src"",""direction"":""desc""}"	1366	1370
138	2016-10-09 19:13:22	226	1	1267	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":16}"	1370	1529
139	2016-10-09 19:13:32	226	1	1268	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":16}"	1529	1530
140	2016-10-09 19:15:20	226	1	1286	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":16}"	1226	1549
141	2016-10-09 19:15:30	226	1	1287	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":16}"	1549	1550
142	2016-10-09 19:22:15	226	1	1320	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":0}"	1550	1593
143	2016-10-09 18:53:57	239	1	1107	"{""field"":""ip_src"",""aggregations"":[{""field"":""tcp_stream"",""type"":""max""}],""groupPriority"":0}"	1354	1362
144	2016-10-09 18:53:48	240	1	1105	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1357	1360
145	2016-10-09 18:53:51	240	1	1106	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	1360	1361
146	2016-10-09 19:05:25	245	1	1200	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1457	1461
147	2016-10-09 19:11:32	245	1	1248	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1457	1509
148	2016-10-09 19:13:08	245	1	1265	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":8}"	1509	1527
149	2016-10-09 19:14:56	245	1	1282	"{""field"": ""tcp_dstport"", ""term"": ""445"", ""condition"": 8}"	1527	1545
150	2016-10-09 19:09:19	246	1	1232	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1459	1493
151	2016-10-09 19:10:58	246	1	1244	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1459	1505
152	2016-10-09 19:11:07	246	1	1246	"{""field"":""tcp_stream"",""direction"":""desc""}"	1505	1507
153	2016-10-09 19:11:48	246	1	1253	"{""field"": ""tcp_stream"", ""term"": ""1"", ""condition"": 8}"	1459	1514
154	2016-10-09 19:11:54	246	1	1254	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1514	1515
155	2016-10-09 19:14:14	246	1	1275	"{""field"":""highest_layer"",""term"":""TCP"",""condition"":16}"	1459	1537
156	2016-10-09 19:14:32	246	1	1277	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""number"",""type"":""count""}],""groupPriority"":0}"	1537	1539
157	2016-10-09 19:16:00	246	1	1289	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":16}"	1537	1552
158	2016-10-09 19:16:11	246	1	1290	"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":0}"	1552	1553
159	2016-10-09 19:16:25	246	1	1291	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":1}"	1553	1554
160	2016-10-09 19:18:03	251	1	1299	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1564	1565
161	2016-10-09 19:18:27	251	1	1301	"{""field"":""tcp_dstport"",""term"":""0"",""condition"":32}"	1564	1567
162	2016-10-09 19:18:32	251	1	1302	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1567	1568
163	2016-10-09 19:19:46	251	1	1310	"{""field"":""ip_dst"",""term"":""192.169.1.122"",""condition"":16}"	1564	1576
164	2016-10-09 19:20:52	252	1	1311	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""}],""groupPriority"":0}"	1577	1578
165	2016-10-09 19:21:02	252	1	1312	"{""field"":""ip_dst"",""term"":""82.108.163.88"",""condition"":16}"	1578	1579
166	2016-10-09 19:25:36	252	1	1347	"{""field"":""highest_layer"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""}],""groupPriority"":1}"	1578	1628
167	2016-10-09 19:21:36	253	1	1314	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	1580	1583
168	2016-10-09 19:23:07	253	1	1327	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":16}"	1580	1601
169	2016-10-09 19:23:23	253	1	1328	"{""field"":""ip_src"",""direction"":""asc""}"	1601	1603
170	2016-10-09 19:23:28	253	1	1330	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1601	1605
171	2016-10-09 19:24:10	253	1	1336	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	1601	1614
172	2016-10-09 19:24:24	253	1	1339	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1614	1617
173	2016-10-09 19:21:57	256	1	1315	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1585	1587
174	2016-10-09 19:22:43	256	1	1325	"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":0}"	1585	1598
175	2016-10-09 19:23:43	256	1	1332	"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	1598	1607
176	2016-10-09 19:25:04	256	1	1344	"{""field"":""tcp_stream"",""term"":""0"",""condition"":64}"	1585	1623
177	2016-10-09 19:25:09	256	1	1345	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1623	1625
178	2016-10-09 19:25:51	256	1	1352	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""max""},{""field"":""ip_dst"",""type"":""min""}],""groupPriority"":0}"	1623	1633
179	2016-10-09 19:24:38	258	1	1341	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1588	1620
180	2016-10-09 19:25:04	258	1	1343	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	1620	1622
181	2016-10-09 19:26:15	258	1	1356	"{""field"":""info_line"",""term"":""Echo"",""condition"":16}"	1622	1637
182	2016-10-09 19:25:16	260	1	1346	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1624	1626
183	2016-10-09 19:25:50	260	1	1351	"{""field"":""tcp_stream"",""term"":""0"",""condition"":64}"	1624	1632
184	2016-10-09 19:26:09	260	1	1354	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1632	1635
185	2016-10-09 19:29:43	267	1	1376	"{""field"":""info_line"",""term"":""reply"",""condition"":16}"	1667	1669
186	2016-10-09 19:30:19	267	1	1380	"{""field"":""tcp_stream"",""term"":""0"",""condition"":32}"	1667	1673
187	2016-10-09 19:30:33	267	1	1381	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""}],""groupPriority"":0}"	1673	1680
188	2016-10-09 19:30:51	268	2	1382	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1679	1682
189	2016-10-09 19:38:28	268	2	1409	"{""field"":""tcp_stream"",""term"":""0"",""condition"":64}"	1679	1721
190	2016-10-09 19:38:33	268	2	1411	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1721	1723
191	2016-10-09 19:32:22	273	2	1395	"{""field"":""tcp_stream"",""term"":""0"",""condition"":32}"	1690	1701
192	2016-10-09 19:32:26	273	2	1396	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1701	1702
193	2016-10-09 19:46:24	273	2	1434	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	1701	1748
194	2016-10-09 19:31:54	274	2	1391	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1689	1697
195	2016-10-09 19:32:58	274	2	1400	"{""field"":""highest_layer"",""term"":""SMB"",""condition"":16}"	1689	1706
196	2016-10-09 19:38:24	274	2	1408	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1689	1720
197	2016-10-09 19:38:32	274	2	1410	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":1}"	1720	1722
198	2016-10-09 19:45:42	281	2	1425	"{""field"":""highest_layer"",""direction"":""asc""}"	1735	1738
199	2016-10-09 19:45:45	281	2	1427	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	1738	1740
200	2016-10-09 19:46:08	281	2	1432	"{""field"":""tcp_stream"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":1}"	1740	1745
201	2016-10-09 19:49:54	284	2	1447	"{""field"":""tcp_stream"",""aggregations"":[],""groupPriority"":0}"	1762	1765
202	2016-10-09 19:52:46	284	2	1462	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	1765	1784
203	2016-10-09 19:49:58	285	2	1448	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	1763	1766
